Id	Debate	Text	Type	Score
136	FIRST	But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently.	0	neutral
137	FIRST	She's been doing this for 30 years.	0	neutral
138	FIRST	And why hasn't she made the agreements better?	-0.552063	negative
139	FIRST	The NAFTA agreement is defective.	-0.700682	negative
140	FIRST	Just because of the tax and many other reasons, but just because of the fact...	-0.317225	negative
141	FIRST	Let me interrupt just a moment, but...	-0.394709	negative
142	FIRST	Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement.	-0.368998	negative
143	FIRST	They should have been doing this for years.	0	neutral
144	FIRST	What's happened to our jobs and our country and our economy generally is -- look, we owe $20 trillion.	-0.454484	negative
145	FIRST	We cannot do it any longer, Lester.	-0.319601	negative
146	FIRST	Back to the question, though.	0	neutral
147	FIRST	How do you bring back -- specifically bring back jobs, American manufacturers?	0	neutral
148	FIRST	How do you make them bring the jobs back?	0	neutral
149	FIRST	Well, the first thing you do is don't let the jobs leave.	0	neutral
150	FIRST	The companies are leaving.	-0.46293	negative
151	FIRST	I could name, I mean, there are thousands of them.	-0.395429	negative
152	FIRST	They're leaving, and they're leaving in bigger numbers than ever.	-0.716552	negative
153	FIRST	And what you do is you say, fine, you want to go to Mexico or some other country, good luck.	0.811576	positive
154	FIRST	We wish you a lot of luck.	0.564501	positive
155	FIRST	But if you think you're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you're wrong.	0	neutral
156	FIRST	And once you say you're going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies.	-0.38166	negative
157	FIRST	So what I'm saying is, we can stop them from leaving.	-0.594248	negative
158	FIRST	We have to stop them from leaving.	-0.52427	negative
159	FIRST	And that's a big, big factor.	0	neutral
160	FIRST	Let me let Secretary Clinton get in here.	0	neutral
161	FIRST	Well, let's stop for a second and remember where we were eight years ago.	0	neutral
162	FIRST	We had the worst financial crisis, the Great Recession, the worst since the 1930s.	-0.884646	negative
163	FIRST	That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm.	0	neutral
164	FIRST	In fact, Donald was one of the people who rooted for the housing crisis.	0	neutral
165	FIRST	"He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money."""	0	neutral
166	FIRST	Well, it did collapse.	0	neutral
167	FIRST	That's called business, by the way.	0	neutral
168	FIRST	Nine million people -- nine million people lost their jobs.	-0.672846	negative
169	FIRST	Five million people lost their homes.	-0.572574	negative
170	FIRST	And $13 trillion in family wealth was wiped out.	-0.422521	negative
171	FIRST	Now, we have come back from that abyss.	0	neutral
172	FIRST	And it has not been easy.	0	neutral
173	FIRST	So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place.	-0.748295	negative
174	FIRST	Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession.	-0.869197	negative
175	FIRST	They've looked at my plans and they've said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy.	0	neutral
176	FIRST	Take clean energy.	0	neutral
177	FIRST	Some country is going to be the clean- energy superpower of the 21st century.	0	neutral
178	FIRST	Donald thinks that climate change is a hoax perpetrated by the Chinese.	-0.764381	negative
179	FIRST	I think it's real.	0	neutral
180	FIRST	I did not.	-0.412782	negative
181	FIRST	I did not.	-0.412782	negative
182	FIRST	I do not say that.	-0.364975	negative
183	FIRST	I think science is real.	0	neutral
184	FIRST	I do not say that.	-0.364975	negative
185	FIRST	And I think it's important that we grip this and deal with it, both at home and abroad.	0.798738	positive
186	FIRST	And here's what we can do.	0	neutral
187	FIRST	We can deploy a half a billion more solar panels.	0	neutral
188	FIRST	We can have enough clean energy to power every home.	0.742256	positive
189	FIRST	We can build a new modern electric grid.	0.821066	positive
190	FIRST	That's a lot of jobs; that's a lot of new economic activity.	0	neutral
191	FIRST	So I've tried to be very specific about what we can and should do, and I am determined that we're going to get the economy really moving again, building on the progress we've made over the last eight years, but never going back to what got us in trouble in the first place.	-0.564232	negative
192	FIRST	Mr. Trump?	0	neutral
193	FIRST	She talks about solar panels.	0	neutral
194	FIRST	We invested in a solar company, our country.	0.56729	positive
195	FIRST	That was a disaster.	-0.59137	negative
196	FIRST	They lost plenty of money on that one.	-0.618294	negative
197	FIRST	Now, look, I'm a great believer in all forms of energy, but we're putting a lot of people out of work.	0	neutral
198	FIRST	Our energy policies are a disaster.	-0.674848	negative
199	FIRST	Our country is losing so much in terms of energy, in terms of paying off our debt.	-0.700085	negative
200	FIRST	You can't do what you're looking to do with $20 trillion in debt.	-0.678939	negative
201	FIRST	The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it.	0	neutral
202	FIRST	He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact.	0	neutral
203	FIRST	So I will tell you this.	0	neutral
204	FIRST	We have to do a much better job at keeping our jobs.	0.78178	positive
205	FIRST	And we have to do a much better job at giving companies incentives to build new companies or to expand, because they're not doing it.	0.497306	positive
206	FIRST	And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone.	-0.598273	negative
207	FIRST	And, Hillary, I'd just ask you this.	0	neutral
208	FIRST	You've been doing this for 30 years.	0	neutral
209	FIRST	Why are you just thinking about these solutions right now?	0.565314	positive
210	FIRST	For 30 years, you've been doing it, and now you're just starting to think of solutions.	0.849425	positive
211	FIRST	Well, actually...	0.596691	positive
212	FIRST	I will bring -- excuse me.	0	neutral
213	FIRST	I will bring back jobs.	0	neutral
214	FIRST	You can't bring back jobs.	-0.532421	negative
215	FIRST	Well, actually, I have thought about this quite a bit.	0.47709	positive
216	FIRST	Yeah, for 30 years.	0	neutral
217	FIRST	And I have -- well, not quite that long.	0	neutral
218	FIRST	I think my husband did a pretty good job in the 1990s.	0.762655	positive
219	FIRST	I think a lot about what worked and how we can make it work again...	0	neutral
220	FIRST	Well, he approved NAFTA...	0	neutral
221	FIRST	(CROSSTALK)	0	neutral
222	FIRST	... million new jobs, a balanced budget...	0	neutral
223	FIRST	He approved NAFTA, which is the single worst trade deal ever approved in this country.	-0.331999	negative
224	FIRST	Incomes went up for everybody.	0	neutral
225	FIRST	Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts.	0.505814	positive
226	FIRST	When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test.	0	neutral
227	FIRST	Will they create jobs in America?	0	neutral
228	FIRST	Will they raise incomes in America?	0	neutral
229	FIRST	And are they good for our national security?	0	neutral
230	FIRST	Some of them I voted for.	0	neutral
231	FIRST	The biggest one, a multinational one known as CAFTA, I voted against.	-0.462068	negative
232	FIRST	And because I hold the same standards as I look at all of these trade deals.	0	neutral
233	FIRST	But let's not assume that trade is the only challenge we have in the economy.	-0.4904	negative
234	FIRST	I think it is a part of it, and I've said what I'm going to do.	0.480004	positive
235	FIRST	I'm going to have a special prosecutor.	0	neutral
236	FIRST	We're going to enforce the trade deals we have, and we're going to hold people accountable.	0	neutral
237	FIRST	When I was secretary of state, we actually increased American exports globally 30 percent.	0	neutral
238	FIRST	We increased them to China 50 percent.	0	neutral
239	FIRST	So I know how to really work to get new jobs and to get exports that helped to create more new jobs.	-0.549721	negative
240	FIRST	Very quickly...	0	neutral
241	FIRST	But you haven't done it in 30 years or 26 years or any number you want to...	-0.383577	negative
242	FIRST	Well, I've been a senator, Donald...	0	neutral
243	FIRST	You haven't done it.	0	neutral
244	FIRST	You haven't done it.	0	neutral
245	FIRST	And I have been a secretary of state...	-0.345564	negative
246	FIRST	Excuse me.	-0.314255	negative
247	FIRST	And I have done a lot...	0	neutral
248	FIRST	Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.	-0.747993	negative
249	FIRST	Well, that's your opinion.	0.63937	positive
250	FIRST	That is your opinion.	0	neutral
251	FIRST	You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent.	-0.660106	negative
252	FIRST	NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country.	-0.355541	negative
253	FIRST	And now you want to approve Trans-Pacific Partnership.	0	neutral
254	FIRST	You were totally in favor of it.	0	neutral
255	FIRST	Then you heard what I was saying, how bad it is, and you said, I can't win that debate.	-0.821492	negative
256	FIRST	But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA.	-0.295838	negative
257	FIRST	Nothing will ever top NAFTA.	-0.496292	negative
258	FIRST	Well, that is just not accurate.	0	neutral
259	FIRST	I was against it once it was finally negotiated and the terms were laid out.	0	neutral
260	FIRST	I wrote about that in...	0	neutral
261	FIRST	You called it the gold standard.	0	neutral
262	FIRST	(CROSSTALK)	0	neutral
263	FIRST	You called it the gold standard of trade deals.	0	neutral
264	FIRST	You said it's the finest deal you've ever seen.	0.706404	positive
265	FIRST	No.	-0.423725	negative
266	FIRST	And then you heard what I said about it, and all of a sudden you were against it.	-0.618058	negative
267	FIRST	Well, Donald, I know you live in your own reality, but that is not the facts.	0	neutral
268	FIRST	The facts are -- I did say I hoped it would be a good deal, but when it was negotiated...	0	neutral
269	FIRST	Not.	-0.36845	negative
270	FIRST	... which I was not responsible for, I concluded it wasn't.	0	neutral
271	FIRST	I wrote about that in my book...	0	neutral
272	FIRST	So is it President Obama's fault?	-0.784818	negative
273	FIRST	... before you even announced.	0	neutral
274	FIRST	Is it President Obama's fault?	-0.764632	negative
275	FIRST	Look, there are differences...	0	neutral
276	FIRST	Secretary, is it President Obama's fault?	-0.700747	negative
277	FIRST	There are...	0	neutral
278	FIRST	Because he's pushing it.	0	neutral
279	FIRST	There are different views about what's good for our country, our economy, and our leadership in the world.	0.838716	positive
280	FIRST	And I think it's important to look at what we need to do to get the economy going again.	0.674996	positive
281	FIRST	That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.	-0.844437	negative
282	FIRST	But you have no plan.	-0.305234	negative
283	FIRST	But in -- oh, but I do.	0	neutral
284	FIRST	Secretary, you have no plan.	0	neutral
285	FIRST	In fact, I have written a book about it.	0	neutral
286	FIRST	"It's called ""Stronger Together."""	0	neutral
287	FIRST	You can pick it up tomorrow at a bookstore...	0	neutral
288	FIRST	That's about all you've...	0	neutral
289	FIRST	(CROSSTALK)	0	neutral
290	FIRST	Folks, we're going to...	0.465329	positive
291	FIRST	... or at an airport near you.	-0.306167	negative
292	FIRST	We're going to move to...	0	neutral
293	FIRST	But it's because I see this -- we need to have strong growth, fair growth, sustained growth.	0.731635	positive
294	FIRST	We also have to look at how we help families balance the responsibilities at home and the responsibilities at business.	0.772259	positive
295	FIRST	So we have a very robust set of plans.	0.856429	positive
296	FIRST	And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.	-0.798747	negative
297	FIRST	You are going to approve one of the biggest tax cuts in history.	-0.359833	negative
298	FIRST	You are going to approve one of the biggest tax increases in history.	0	neutral
299	FIRST	You are going to drive business out.	0	neutral
300	FIRST	Your regulations are a disaster, and you're going to increase regulations all over the place.	-0.440297	negative
301	FIRST	And by the way, my tax cut is the biggest since Ronald Reagan.	-0.318269	negative
302	FIRST	I'm very proud of it.	0.845395	positive
303	FIRST	It will create tremendous numbers of new jobs.	0	neutral
304	FIRST	But regulations, you are going to regulate these businesses out of existence.	0	neutral
305	FIRST	When I go around -- Lester, I tell you this, I've been all over.	0	neutral
306	FIRST	And when I go around, despite the tax cut, the thing -- the things that business as in people like the most is the fact that I'm cutting regulation.	-0.547132	negative
307	FIRST	You have regulations on top of regulations, and new companies cannot form and old companies are going out of business.	0	neutral
308	FIRST	And you want to increase the regulations and make them even worse.	-0.555854	negative
309	FIRST	I'm going to cut regulations.	0	neutral
310	FIRST	I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.	-0.523383	negative
311	FIRST	Let me get you to pause right there, because we're going to move into -- we're going to move into the next segment.	0.788405	positive
312	FIRST	We're going to talk taxes...	-0.473361	negative
313	FIRST	That can't -- that can't be left to stand.	-0.641545	negative
314	FIRST	Please just take 30 seconds and then we're going to go on.	0	neutral
315	FIRST	I kind of assumed that there would be a lot of these charges and claims, and so...	0	neutral
316	FIRST	Facts.	0	neutral
317	FIRST	So we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker.	0	neutral
318	FIRST	So if you want to see in real-time what the facts are, please go and take a look.	0	neutral
319	FIRST	Because what I have proposed...	-0.460475	negative
320	FIRST	And take a look at mine, also, and you'll see.	0	neutral
321	FIRST	... would not add a penny to the debt, and your plans would add $5 trillion to the debt.	-0.669119	negative
322	FIRST	What I have proposed would cut regulations and streamline them for small businesses.	0	neutral
323	FIRST	What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy.	0	neutral
324	FIRST	And I think it's time that the wealthy and corporations paid their fair share to support this country.	0.825565	positive
325	FIRST	Well, you just opened the next segment.	0	neutral
326	FIRST	Well, could I just finish -- I think I...	0	neutral
327	FIRST	(CROSSTALK)	0	neutral
328	FIRST	I'm going to give you a chance right here...	0.750629	positive
329	FIRST	I think I should -- you go to her website, and you take a look at her website.	0.557817	positive
330	FIRST	... with a new 15-minute segment...	0.525381	positive
331	FIRST	She's going to raise taxes $1.3 trillion.	-0.49287	negative
332	FIRST	Mr. Trump, I'm going to...	0	neutral
333	FIRST	And look at her website.	0	neutral
334	FIRST	You know what?	0	neutral
335	FIRST	It's no difference than this.	-0.506151	negative
336	FIRST	She's telling us how to fight ISIS.	0	neutral
337	FIRST	Just go to her website.	0	neutral
338	FIRST	She tells you how to fight ISIS on her website.	0	neutral
339	FIRST	I don't think General Douglas MacArthur would like that too much.	0	neutral
340	FIRST	The next segment, we're continuing...	0	neutral
341	FIRST	Well, at least I have a plan to fight ISIS.	-0.414343	negative
342	FIRST	... achieving prosperity...	0.810005	positive
343	FIRST	No, no, you're telling the enemy everything you want to do.	-0.689588	negative
344	FIRST	No, we're not.	-0.615889	negative
345	FIRST	No, we're not.	-0.615889	negative
346	FIRST	See, you're telling the enemy everything you want to do.	0	neutral
347	FIRST	No wonder you've been fighting -- no wonder you've been fighting ISIS your entire adult life.	0	neutral
348	FIRST	That's a -- that's -- go to the -- please, fact checkers, get to work.	0	neutral
349	FIRST	OK, you are unpacking a lot here.	0	neutral
350	FIRST	And we're still on the issue of achieving prosperity.	0.838448	positive
351	FIRST	And I want to talk about taxes.	-0.55532	negative
352	FIRST	The fundamental difference between the two of you concerns the wealthy.	0	neutral
353	FIRST	Secretary Clinton, you're calling for a tax increase on the wealthiest Americans.	0	neutral
354	FIRST	I'd like you to further defend that.	0	neutral
355	FIRST	And, Mr. Trump, you're calling for tax cuts for the wealthy.	0	neutral
356	FIRST	I'd like you to defend that.	0	neutral
357	FIRST	And this next two-minute answer goes to you, Mr. Trump.	0	neutral
358	FIRST	Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs.	0.502667	positive
359	FIRST	They're going to expand their companies.	0	neutral
360	FIRST	They're going to do a tremendous job.	0.76866	positive
361	FIRST	I'm getting rid of the carried interest provision.	-0.561478	negative
362	FIRST	And if you really look, it's not a tax -- it's really not a great thing for the wealthy.	0	neutral
363	FIRST	It's a great thing for the middle class.	0.75023	positive
364	FIRST	It's a great thing for companies to expand.	0.774085	positive
365	FIRST	And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what -- is so bad.	-0.9326	negative
366	FIRST	So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country.	-0.626784	negative
367	FIRST	And instead of bringing it back and putting the money to work, because they can't work out a deal to -- and everybody agrees it should be brought back.	-0.504576	negative
368	FIRST	Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together.	-0.898007	negative
369	FIRST	Because we have -- we have a president that can't sit them around a table and get them to approve something.	0	neutral
370	FIRST	And here's the thing.	0	neutral
371	FIRST	Republicans and Democrats agree that this should be done, $2.5 trillion.	-0.439399	negative
372	FIRST	I happen to think it's double that.	-0.47336	negative
373	FIRST	It's probably $5 trillion that we can't bring into our country, Lester.	-0.618162	negative
374	FIRST	And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful.	0	neutral
375	FIRST	But we have no leadership.	0	neutral
376	FIRST	And honestly, that starts with Secretary Clinton.	0	neutral
377	FIRST	All right.	0.526333	positive
378	FIRST	You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.	-0.444766	negative
379	FIRST	I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.	-0.757695	negative
380	FIRST	Why not?	-0.508464	negative
381	FIRST	Why not?	-0.508464	negative
382	FIRST	Yeah, why not?	0	neutral
383	FIRST	(LAUGHTER)	0	neutral
384	FIRST	You know, just join the debate by saying more crazy things.	0	neutral
385	FIRST	Now, let me say this, it is absolutely the case...	0	neutral
386	FIRST	There's nothing crazy about not letting our companies bring their money back into their country.	-0.617731	negative
387	FIRST	This is -- this is Secretary Clinton's two minutes, please.	-0.47956	negative
388	FIRST	Yes.	0	neutral
389	FIRST	Yeah, well, let's start the clock again, Lester.	0.591748	positive
390	FIRST	We've looked at your tax proposals.	0	neutral
