ID	Speaker	CB	Text
67	TRUMP	0.16	You know, when we have a world where you have ISIS chopping off heads, where you have -- and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.
68	TRUMP	0.19	We haven't seen anything like this, the carnage all over the world.
69	TRUMP	0.16	And they look and they see.
70	TRUMP	0.21	Can you imagine the people that are, frankly, doing so well against us with ISIS?
71	TRUMP	0.14	And they look at our country and they see what's going on.
72	TRUMP	0.3	Yes, I'm very embarrassed by it.
73	TRUMP	0.2	I hate it.
74	TRUMP	0.16	But it's locker room talk, and it's one of those things.
75	TRUMP	0.18	I will knock the hell out of ISIS.
76	TRUMP	0.2	We're going to defeat ISIS.
77	TRUMP	0.36	ISIS happened a number of years ago in a vacuum that was left because of bad judgment.
78	TRUMP	0.28	And I will tell you, I will take care of ISIS.
79	COOPER	0.26	So, Mr. Trump...
80	TRUMP	0.21	And we should get on to much more important things and much bigger things.
81	COOPER	0.63	Just for the record, though, are you saying that what you said on that bus 11 years ago that you did not actually kiss women without consent or grope women without consent?
82	TRUMP	0.41	I have great respect for women.
83	TRUMP	0.5	Nobody has more respect for women than I do.
84	COOPER	0.59	So, for the record, you're saying you never did that?
85	TRUMP	0.19	I've said things that, frankly, you hear these things I said.
86	TRUMP	0.23	And I was embarrassed by it.
87	TRUMP	0.36	But I have tremendous respect for women.
88	COOPER	0.37	Have you ever done those things?
89	TRUMP	0.38	And women have respect for me.
90	TRUMP	0.13	And I will tell you: No, I have not.
91	TRUMP	0.18	And I will tell you that I'm going to make our country safe.
92	TRUMP	0.27	We're going to have borders in our country, which we don't have now.
93	TRUMP	0.32	People are pouring into our country, and they're coming in from the Middle East and other places.
94	TRUMP	0.18	We're going to make America safe again.
95	TRUMP	0.14	We're going to make America great again, but we're going to make America safe again.
96	TRUMP	0.11	And we're going to make America wealthy again, because if you don't do that, it just -- it sounds harsh to say, but we have to build up the wealth of our nation.
97	COOPER	0.17	Thank you, Mr. Trump.
98	TRUMP	0.31	Right now, other nations are taking our jobs and they're taking our wealth.
99	COOPER	0.17	Thank you, Mr. Trump.
100	TRUMP	0.07	And that's what I want to talk about.
101	COOPER	0.2	Secretary Clinton, do you want to respond?
102	CLINTON	0.32	Well, like everyone else, I've spent a lot of time thinking over the last 48 hours about what we heard and saw.
103	CLINTON	0.32	You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve.
104	CLINTON	0.23	Donald Trump is different.
105	CLINTON	0.28	I said starting back in June that he was not fit to be president and commander-in-chief.
106	CLINTON	0.27	And many Republicans and independents have said the same thing.
107	CLINTON	0.44	What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women.
108	CLINTON	0.27	And he has said that the video doesn't represent who he is.
109	CLINTON	0.11	But I think it's clear to anyone who heard it that it represents exactly who he is.
110	CLINTON	0.16	Because we've seen this throughout the campaign.
111	CLINTON	0.37	We have seen him insult women.
112	CLINTON	0.52	We've seen him rate women on their appearance, ranking them from one to ten.
113	CLINTON	0.34	We've seen him embarrass women on TV and on Twitter.
114	CLINTON	0.39	We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.
115	CLINTON	0.24	So, yes, this is who Donald Trump is.
116	CLINTON	0.55	But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.
117	CLINTON	0.18	So this is who Donald Trump is.
118	CLINTON	0.16	And the question for us, the question our country must answer is that this is not who we are.
119	CLINTON	0.11	That's why -- to go back to your question -- I want to send a message -- we all should -- to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.
120	CLINTON	0.08	These are very important values to me, because this is the America that I know and love.
121	CLINTON	0.05	And I can pledge to you tonight that this is the America that I will serve if I'm so fortunate enough to become your president.
122	RADDATZ	0.05	And we want to get to some questions from online...
123	TRUMP	0.08	Am I allowed to respond to that?
124	TRUMP	0.15	I assume I am.
125	RADDATZ	0.21	Yes, you can respond to that.
126	TRUMP	0.21	It's just words, folks.
127	TRUMP	0.18	It's just words.
128	TRUMP	0.25	Those words, I've been hearing them for many years.
129	TRUMP	0.28	I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed.
130	TRUMP	0.2	I've heard them where Hillary is constantly talking about the inner cities of our country, which are a disaster education-wise, jobwise, safety-wise, in every way possible.
131	TRUMP	0.33	I'm going to help the African-Americans.
132	TRUMP	0.24	I'm going to help the Latinos, Hispanics.
133	TRUMP	0.15	I am going to help the inner cities.
134	TRUMP	0.31	She's done a terrible job for the African-Americans.
135	TRUMP	0.19	She wants their vote, and she does nothing, and then she comes back four years later.
136	TRUMP	0.19	We saw that firsthand when she was United States senator.
137	TRUMP	0.21	She campaigned where the primary part of her campaign...
138	RADDATZ	0.2	Mr. Trump, Mr. Trump -- I want to get to audience questions and online questions.
139	TRUMP	0.16	So, she's allowed to do that, but I'm not allowed to respond?
140	RADDATZ	0.14	You're going to have -- you're going to get to respond right now.
141	TRUMP	0.17	Sounds fair.
142	RADDATZ	0.23	This tape is generating intense interest.
143	RADDATZ	0.56	In just 48 hours, it's become the single most talked about story of the entire 2016 election on Facebook, with millions and millions of people discussing it on the social network.
144	RADDATZ	0.39	As we said a moment ago, we do want to bring in questions from voters around country via social media, and our first stays on this topic.
145	RADDATZ	0.35	"Jeff from Ohio asks on Facebook, ""Trump says the campaign has changed him."
146	RADDATZ	0.26	"When did that happen?"""
147	RADDATZ	0.11	So, Mr. Trump, let me add to that.
148	RADDATZ	0.37	When you walked off that bus at age 59, were you a different man or did that behavior continue until just recently?
149	RADDATZ	0.17	And you have two minutes for this.
150	TRUMP	0.26	It was locker room talk, as I told you.
151	TRUMP	0.17	That was locker room talk.
152	TRUMP	0.15	I'm not proud of it.
153	TRUMP	0.18	I am a person who has great respect for people, for my family, for the people of this country.
154	TRUMP	0.13	And certainly, I'm not proud of it.
155	TRUMP	0.21	But that was something that happened.
156	TRUMP	0.26	If you look at Bill Clinton, far worse.
157	TRUMP	0.23	Mine are words, and his was action.
158	TRUMP	0.36	His was what he's done to women.
159	TRUMP	0.39	There's never been anybody in the history politics in this nation that's been so abusive to women.
160	TRUMP	0.21	So you can say any way you want to say it, but Bill Clinton was abusive to women.
161	TRUMP	0.46	Hillary Clinton attacked those same women and attacked them viciously.
162	TRUMP	0.1	Four of them here tonight.
163	TRUMP	0.55	One of the women, who is a wonderful woman, at 12 years old, was raped at 12.
164	TRUMP	0.34	Her client she represented got him off, and she's seen laughing on two separate occasions, laughing at the girl who was raped.
165	TRUMP	0.24	Kathy Shelton, that young woman is here with us tonight.
166	TRUMP	0.11	So don't tell me about words.
167	TRUMP	0.13	I am absolutely -- I apologize for those words.
168	TRUMP	0.18	But it is things that people say.
169	TRUMP	0.48	But what President Clinton did, he was impeached, he lost his license to practice law.
170	TRUMP	0.59	He had to pay an $850,000 fine to one of the women.
171	TRUMP	0.19	Paula Jones, who's also here tonight.
172	TRUMP	0.13	And I will tell you that when Hillary brings up a point like that and she talks about words that I said 11 years ago, I think it's disgraceful, and I think she should be ashamed of herself, if you want to know the truth.
173	SYSTEM	0.13	(APPLAUSE)
174	RADDATZ	0.17	Can we please hold the applause?
175	RADDATZ	0.35	Secretary Clinton, you have two minutes.
176	CLINTON	0.22	Well, first, let me start by saying that so much of what he's just said is not right, but he gets to run his campaign any way he chooses.
177	CLINTON	0.12	He gets to decide what he wants to talk about.
178	CLINTON	0.2	Instead of answering people's questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that's his choice.
179	CLINTON	0.13	When I hear something like that, I am reminded of what my friend, Michelle Obama, advised us all: When they go low, you go high.
180	SYSTEM	0.24	(APPLAUSE) And, look, if this were just about one video, maybe what he's saying tonight would be understandable, but everyone can draw their own conclusions at this point about whether or not the man in the video or the man on the stage respects women.
181	CLINTON	0.24	But he never apologizes for anything to anyone.
182	CLINTON	0.29	He never apologized to Mr. and Mrs. Khan, the Gold Star family whose son, Captain Khan, died in the line of duty in Iraq.
183	CLINTON	0.4	And Donald insulted and attacked them for weeks over their religion.
184	CLINTON	0.37	"He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn't be trusted to be a judge because his parents were, quote, ""Mexican."""
185	CLINTON	0.48	He never apologized to the reporter that he mimicked and mocked on national television and our children were watching.
186	CLINTON	0.45	And he never apologized for the racist lie that President Obama was not born in the United States of America.
187	CLINTON	0.22	He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words.
188	TRUMP	0.45	Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal -- he's another real winner that you have -- and he's the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that.
189	TRUMP	0.12	So you really owe him an apology.
190	TRUMP	0.52	You're the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb.
191	TRUMP	0.18	That was long before I was ever involved, so you actually owe an apology.
192	TRUMP	0.31	Number two, Michelle Obama.
193	TRUMP	0.25	I've gotten to see the commercials that they did on you.
194	TRUMP	0.24	And I've gotten to see some of the most vicious commercials I've ever seen of Michelle Obama talking about you, Hillary.
195	TRUMP	0.25	So, you talk about friend?
196	TRUMP	0.13	Go back and take a look at those commercials, a race where you lost fair and square, unlike the Bernie Sanders race, where you won, but not fair and square, in my opinion.
197	TRUMP	0.28	And all you have to do is take a look at WikiLeaks and just see what they say about Bernie Sanders and see what Deborah Wasserman Schultz had in mind, because Bernie Sanders, between super-delegates and Deborah Wasserman Schultz, he never had a chance.
198	TRUMP	0.17	And I was so surprised to see him sign on with the devil.
199	TRUMP	0.64	But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing.
200	TRUMP	0.17	And I'll tell you what.
201	TRUMP	0.09	I didn't think I'd say this, but I'm going to say it, and I hate to say it.
202	TRUMP	0.13	But if I win, I am going to instruct my attorney general to get a special prosecutor to look into your situation, because there has never been so many lies, so much deception.
203	TRUMP	0.22	There has never been anything like it, and we're going to have a special prosecutor.
204	TRUMP	0.18	When I speak, I go out and speak, the people of this country are furious.
205	TRUMP	0.28	In my opinion, the people that have been long-term workers at the FBI are furious.
206	TRUMP	0.39	There has never been anything like this, where e-mails -- and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.
207	TRUMP	0.29	So we're going to get a special prosecutor, and we're going to look into it, because you know what?
208	TRUMP	0.34	People have been -- their lives have been destroyed for doing one-fifth of what you've done.
209	TRUMP	0.23	And it's a disgrace.
210	TRUMP	0.15	And honestly, you ought to be ashamed of yourself.
211	RADDATZ	0.33	Secretary Clinton, I want to follow up on that.
212	SYSTEM	0.27	(CROSSTALK)
213	RADDATZ	0.09	I'm going to let you talk about e-mails.
214	CLINTON	0.22	... because everything he just said is absolutely false, but I'm not surprised.
215	TRUMP	0.23	Oh, really?
216	CLINTON	0.36	In the first debate...
217	SYSTEM	0.27	(LAUGHTER)
218	RADDATZ	0.18	And really, the audience needs to calm down here.
219	CLINTON	0.16	... I told people that it would be impossible to be fact-checking Donald all the time.
220	CLINTON	0.09	I'd never get to talk about anything I want to do and how we're going to really make lives better for people.
221	CLINTON	0.14	So, once again, go to HillaryClinton.com.
222	CLINTON	0.15	We have literally Trump -- you can fact check him in real time.
223	CLINTON	0.37	Last time at the first debate, we had millions of people fact checking, so I expect we'll have millions more fact checking, because, you know, it is -- it's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.
224	TRUMP	0.16	Because you'd be in jail.
225	SYSTEM	0.15	(APPLAUSE)
226	RADDATZ	0.33	Secretary Clinton...
227	COOPER	0.19	We want to remind the audience to please not talk out loud.
228	COOPER	0.31	Please do not applaud.
229	COOPER	0.15	You're just wasting time.
230	RADDATZ	0.3	And, Secretary Clinton, I do want to follow up on e- mails.
231	RADDATZ	0.27	You've said your handing of your e-mails was a mistake.
232	RADDATZ	0.31	"You disagreed with FBI Director James Comey, calling your handling of classified information, quote, ""extremely careless."""
233	RADDATZ	0.68	The FBI said that there were 110 classified e-mails that were exchanged, eight of which were top secret, and that it was possible hostile actors did gain access to those e-mails.
234	RADDATZ	0.72	You don't call that extremely careless?
235	CLINTON	0.15	Well, Martha, first, let me say -- and I've said before, but I'll repeat it, because I want everyone to hear it -- that was a mistake, and I take responsibility for using a personal e-mail account.
236	CLINTON	0.13	Obviously, if I were to do it over again, I would not.
237	CLINTON	0.2	I'm not making any excuses.
238	CLINTON	0.2	It was a mistake.
239	CLINTON	0.19	And I am very sorry about that.
240	CLINTON	0.18	But I think it's also important to point out where there are some misleading accusations from critics and others.
241	CLINTON	0.57	After a year-long investigation, there is no evidence that anyone hacked the server I was using and there is no evidence that anyone can point to at all -- anyone who says otherwise has no basis -- that any classified material ended up in the wrong hands.
242	CLINTON	0.18	I take classified materials very seriously and always have.
243	CLINTON	0.29	When I was on the Senate Armed Services Committee, I was privy to a lot of classified material.
244	CLINTON	0.42	Obviously, as secretary of state, I had some of the most important secrets that we possess, such as going after bin Laden.
245	CLINTON	0.18	So I am very committed to taking classified information seriously.
246	CLINTON	0.38	And as I said, there is no evidence that any classified information ended up in the wrong hands.
247	RADDATZ	0.19	OK, we're going to move on.
248	TRUMP	0.24	And yet she didn't know the word -- the letter C on a document.
249	TRUMP	0.3	Right?
250	TRUMP	0.2	She didn't even know what that word -- what that letter meant.
251	TRUMP	0.2	You know, it's amazing.
252	TRUMP	0.22	I'm watching Hillary go over facts.
253	TRUMP	0.19	And she's going after fact after fact, and she's lying again, because she said she -- you know, what she did with the e-mail was fine.
254	TRUMP	0.39	You think it was fine to delete 33,000 e-mails?
255	TRUMP	0.04	I don't think so.
256	TRUMP	0.43	She said the 33,000 e-mails had to do with her daughter's wedding, number one, and a yoga class.
257	TRUMP	0.29	Well, maybe we'll give three or three or four or five or something.
258	TRUMP	0.53	33,000 e-mails deleted, and now she's saying there wasn't anything wrong.
259	TRUMP	0.29	And more importantly, that was after getting a subpoena.
260	TRUMP	0.33	That wasn't before.
261	TRUMP	0.21	That was after.
262	TRUMP	0.18	She got it from the United States Congress.
263	TRUMP	0.21	And I'll be honest, I am so disappointed in congressmen, including Republicans, for allowing this to happen.
264	TRUMP	0.31	Our Justice Department, where our husband goes on to the back of a airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case.
265	TRUMP	0.31	But for you to say that there was nothing wrong with you deleting 39,000 e-mails, again, you should be ashamed of yourself.
266	TRUMP	0.23	What you did -- and this is after getting a subpoena from the United States Congress.
267	COOPER	0.21	We have to move on.
268	TRUMP	0.26	You did that.
269	TRUMP	0.24	Wait a minute.
270	TRUMP	0.3	One second.
271	COOPER	0.26	Secretary Clinton, you can respond, and then we got to move on.
272	RADDATZ	0.12	We want to give the audience a chance.
273	TRUMP	0.35	If you did that in the private sector, you'd be put in jail, let alone after getting a subpoena from the United States Congress.
274	COOPER	0.28	Secretary Clinton, you can respond.
275	COOPER	0.18	Then we have to move on to an audience question.
276	CLINTON	0.22	Look, it's just not true.
277	CLINTON	0.16	And so please, go to...
278	TRUMP	0.26	Oh, you didn't delete them?
279	COOPER	0.22	Allow her to respond, please.
280	CLINTON	0.22	It was personal e-mails, not official.
281	TRUMP	0.51	Oh, 33,000?
282	TRUMP	0.19	Yeah.
283	CLINTON	0.45	Not -- well, we turned over 35,000, so...
284	TRUMP	0.2	Oh, yeah.
285	TRUMP	0.45	What about the other 15,000?
286	COOPER	0.23	Please allow her to respond.
287	COOPER	0.21	She didn't talk while you talked.
288	CLINTON	0.44	Yes, that's true, I didn't.
289	TRUMP	0.12	Because you have nothing to say.
290	CLINTON	0.18	I didn't in the first debate, and I'm going to try not to in this debate, because I'd like to get to the questions that the people have brought here tonight to talk to us about.
291	TRUMP	0.11	Get off this question.
292	CLINTON	0.23	OK, Donald.
293	CLINTON	0.18	I know you're into big diversion tonight, anything to avoid talking about your campaign and the way it's exploding and the way Republicans are leaving you.
294	CLINTON	0.22	But let's at least focus...
295	TRUMP	0.16	Let's see what happens...
296	SYSTEM	0.16	(CROSSTALK)
297	COOPER	0.21	Allow her to respond.
298	CLINTON	0.14	... on some of the issues that people care about tonight.
299	CLINTON	0.18	Let's get to their questions.
300	COOPER	0.18	We have a question here from Ken Karpowicz.
301	COOPER	0.23	He has a question about health care.
302	COOPER	0.29	Ken?
303	TRUMP	0.3	I'd like to know, Anderson, why aren't you bringing up the e-mails?
304	TRUMP	0.08	I'd like to know.
305	TRUMP	0.12	Why aren't you bringing...
306	COOPER	0.45	We brought up the e-mails.
307	TRUMP	0.21	No, it hasn't.
308	TRUMP	0.22	It hasn't.
309	TRUMP	0.24	And it hasn't been finished at all.
310	COOPER	0.16	Ken Karpowicz has a question.
311	TRUMP	0.36	It's nice to -- one on three.
312	QUESTION	0.14	Thank you.
313	QUESTION	0.27	Affordable Care Act, known as Obamacare, it is not affordable.
314	QUESTION	0.49	Premiums have gone up.
315	QUESTION	0.4	Deductibles have gone up.
316	QUESTION	0.46	Copays have gone up.
317	QUESTION	0.39	Prescriptions have gone up.
318	QUESTION	0.3	And the coverage has gone down.
319	QUESTION	0.19	What will you do to bring the cost down and make coverage better?
320	COOPER	0.4	That first one goes to Secretary Clinton, because you started out the last one to the audience.
321	CLINTON	0.21	If he wants to start, he can start.
322	CLINTON	0.21	No, go ahead, Donald.
323	TRUMP	0.2	No, I'm a gentlemen, Hillary.
324	TRUMP	0.22	Go ahead.
325	SYSTEM	0.13	(LAUGHTER)
326	COOPER	0.38	Secretary Clinton?
327	CLINTON	0.16	Well, I think Donald was about to say he's going to solve it by repealing it and getting rid of the Affordable Care Act.
328	CLINTON	0.11	And I'm going to fix it, because I agree with you.
329	CLINTON	0.27	Premiums have gotten too high.
330	CLINTON	0.32	Copays, deductibles, prescription drug costs, and I've laid out a series of actions that we can take to try to get those costs down.
331	CLINTON	0.7	But here's what I don't want people to forget when we're talking about reining in the costs, which has to be the highest priority of the next president, when the Affordable Care Act passed, it wasn't just that 20 million got insurance who didn't have it before.
332	CLINTON	0.12	But that in and of itself was a good thing.
333	CLINTON	0.2	I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families.
334	CLINTON	0.54	But everybody else, the 170 million of us who get health insurance through our employees got big benefits.
335	CLINTON	0.24	Number one, insurance companies can't deny you coverage because of a pre-existing condition.
336	CLINTON	0.27	Number two, no lifetime limits, which is a big deal if you have serious health problems.
337	CLINTON	0.47	Number three, women can't be charged more than men for our health insurance, which is the way it used to be before the Affordable Care Act.
338	CLINTON	0.23	Number four, if you're under 26, and your parents have a policy, you can be on that policy until the age of 26, something that didn't happen before.
339	CLINTON	0.16	So I want very much to save what works and is good about the Affordable Care Act.
340	CLINTON	0.24	But we've got to get costs down.
341	CLINTON	0.3	We've got to provide additional help to small businesses so that they can afford to provide health insurance.
342	CLINTON	0.34	But if we repeal it, as Donald has proposed, and start over again, all of those benefits I just mentioned are lost to everybody, not just people who get their health insurance on the exchange.
343	CLINTON	0.18	And then we would have to start all over again.
344	CLINTON	0.54	Right now, we are at 90 percent health insurance coverage.
345	CLINTON	0.47	That's the highest we've ever been in our country.
346	COOPER	0.38	Secretary Clinton, your time is up.
347	CLINTON	0.35	So I want us to get to 100 percent, but get costs down and keep quality up.
348	COOPER	0.22	Mr. Trump, you have two minutes.
349	TRUMP	0.24	It is such a great question and it's maybe the question I get almost more than anything else, outside of defense.
350	TRUMP	0.23	Obamacare is a disaster.
351	TRUMP	0.16	You know it.
352	TRUMP	0.2	We all know it.
353	TRUMP	0.3	It's going up at numbers that nobody's ever seen worldwide.
354	TRUMP	0.22	Nobody's ever seen numbers like this for health care.
355	TRUMP	0.28	It's only getting worse.
356	TRUMP	0.29	In '17, it implodes by itself.
357	TRUMP	0.19	Their method of fixing it is to go back and ask Congress for more money, more and more money.
358	TRUMP	0.63	We have right now almost $20 trillion in debt.
359	TRUMP	0.24	Obamacare will never work.
360	TRUMP	0.26	It's very bad, very bad health insurance.
361	TRUMP	0.31	Far too expensive.
362	TRUMP	0.43	And not only expensive for the person that has it, unbelievably expensive for our country.
363	TRUMP	0.29	It's going to be one of the biggest line items very shortly.
364	TRUMP	0.19	We have to repeal it and replace it with something absolutely much less expensive and something that works, where your plan can actually be tailored.
365	TRUMP	0.37	We have to get rid of the lines around the state, artificial lines, where we stop insurance companies from coming in and competing, because they want -- and President Obama and whoever was working on it -- they want to leave those lines, because that gives the insurance companies essentially monopolies.
366	TRUMP	0.21	We want competition.
367	TRUMP	0.27	You will have the finest health care plan there is.
368	TRUMP	0.19	She wants to go to a single-payer plan, which would be a disaster, somewhat similar to Canada.
369	TRUMP	0.15	And if you haven't noticed the Canadians, when they need a big operation, when something happens, they come into the United States in many cases because their system is so slow.
370	TRUMP	0.2	It's catastrophic in certain ways.
371	TRUMP	0.21	But she wants to go to single payer, which means the government basically rules everything.
372	TRUMP	0.29	Hillary Clinton has been after this for years.
373	TRUMP	0.32	Obamacare was the first step.
374	TRUMP	0.21	Obamacare is a total disaster.
375	TRUMP	0.47	And not only are your rates going up by numbers that nobody's ever believed, but your deductibles are going up, so that unless you get hit by a truck, you're never going to be able to use it.
376	COOPER	0.45	Mr. Trump, your time...
377	TRUMP	0.24	It is a disastrous plan, and it has to be repealed and replaced.
378	COOPER	0.31	Secretary Clinton, let me follow up with you.
379	COOPER	0.55	"Your husband called Obamacare, quote, ""the craziest thing in the world,"" saying that small-business owners are getting killed as premiums double, coverage is cut in half."
380	COOPER	0.3	Was he mistaken or was the mistake simply telling the truth?
381	CLINTON	0.27	No, I mean, he clarified what he meant.
382	CLINTON	0.19	And it's very clear.
383	CLINTON	0.26	Look, we are in a situation in our country where if we were to start all over again, we might come up with a different system.
384	CLINTON	0.22	But we have an employer-based system.
385	CLINTON	0.22	That's where the vast majority of people get their health care.
386	CLINTON	0.28	And the Affordable Care Act was meant to try to fill the gap between people who were too poor and couldn't put together any resources to afford health care, namely people on Medicaid.
387	CLINTON	0.36	Obviously, Medicare, which is a single-payer system, which takes care of our elderly and does a great job doing it, by the way, and then all of the people who were employed, but people who were working but didn't have the money to afford insurance and didn't have anybody, an employer or anybody else, to help them.
388	CLINTON	0.26	That was the slot that the Obamacare approach was to take.
389	CLINTON	0.64	And like I say, 20 million people now have health insurance.
390	CLINTON	0.55	So if we just rip it up and throw it away, what Donald's not telling you is we just turn it back to the insurance companies the way it used to be, and that means the insurance companies...
391	COOPER	0.61	Secretary Clinton...
392	CLINTON	0.62	... get to do pretty much whatever they want, including saying, look, I'm sorry, you've got diabetes, you had cancer, your child has asthma...
393	COOPER	0.66	Your time is up.
394	CLINTON	0.2	... you may not be able to have insurance because you can't afford it.
395	CLINTON	0.2	So let's fix what's broken about it, but let's not throw it away and give it all back to the insurance companies and the drug companies.
